feature_name	feature_name4plot	category
exposed	Exposed (accessible surface area)	accessible_surface_area
bury	Buried (accessible surface area)	accessible_surface_area
medium	Medium (accessible surface area)	accessible_surface_area
misbad	Missense badness	amino_acid_feature
ref_hydrophobic-side-chain:aliphatic	ref AA hydrophobic-side-chain:aliphatic	amino_acid_physicochemical_properties
ref_positively-charged	ref AA positively-charged	amino_acid_physicochemical_properties
ref_hydrophobic-side-chain:aromatic	ref AA hydrophobic-side-chain:aromatic	amino_acid_physicochemical_properties
ref_special-amino-acid	ref AA special-amino-acid	amino_acid_physicochemical_properties
hydrophobic-side-chain:aliphatic	alt AA hydrophobic-side-chain:aliphatic	amino_acid_physicochemical_properties
polar-uncharged-side-chain	alt AA polar-uncharged-side-chain	amino_acid_physicochemical_properties
ref_polar-uncharged-side-chain	ref AA polar-uncharged-side-chain	amino_acid_physicochemical_properties
ref_negatively-charged	ref AA negatively-charged	amino_acid_physicochemical_properties
special-amino-acid	alt AA special-amino-acid	amino_acid_physicochemical_properties
negatively-charged	alt AA negatively-charged	amino_acid_physicochemical_properties
hydrophobic-side-chain:aromatic	alt AA hydrophobic-side-chain:aromatic	amino_acid_physicochemical_properties
positively-charged	alt AA positively-charged	amino_acid_physicochemical_properties
cacscncon	n Navs/Cavs have same AA	conservation
scncon	n Navs have same AA	conservation
missingAA	n missing sites gene family alignment	conservation
cacBEACDSFcon	n HVA Cavs have same AA	conservation
caccon	n Cavs have same AA	conservation
primvoltsens	"S4 Voltage sensor, gating charges"	functional_protein_domain
pore	Pore	functional_protein_domain
LH	S4-S5 Linker helix	functional_protein_domain
inactivation_gate	Inactivation gate	functional_protein_domain
SF	Selectivity filter	functional_protein_domain
gating_break	Gating break	functional_protein_domain
scn	is sodium channel	is_sodium_channel
hmmpanther:PTHR10037:SF139	hmmpanther:PTHR10037:SF139	protein_domain
hmmpanther:PTHR10037:SF188	hmmpanther:PTHR10037:SF188	protein_domain
Pfam_domain:PF11933	Pfam domain:PF11933	protein_domain
Pfam_domain:PF06512	Pfam domain:PF06512	protein_domain
B	"in isolated beta-bridge (secondary structure, DSSP)"	secondary_structure
E	"anti-parallel beta-sheet (secondary structure, DSSP)"	secondary_structure
L	"loop (secondary structure, DSSP)"	secondary_structure
G	"3-turn helix (secondary structure, DSSP)"	secondary_structure
T	"hydrogen bonded turn (secondary structure, DSSP)"	secondary_structure
I	"5-turn (pi) helix (secondary structure, DSSP)"	secondary_structure
S	"bend (secondary structure, DSSP)"	secondary_structure
H	"4-turn (alpha) helix (secondary structure, DSSP)"	secondary_structure
S4M4	IVS4	structural_protein_domain
Cytopl	Cytoplasm	structural_protein_domain
Extrac	Extracellular	structural_protein_domain
S6M2	IIS6	structural_protein_domain
S1M4	IVS1	structural_protein_domain
S4M2	IIS4	structural_protein_domain
S6M4	IVS6	structural_protein_domain
S2M1	IS2	structural_protein_domain
S1M1	IS1	structural_protein_domain
S3M1	IS3	structural_protein_domain
S4M1	IS4	structural_protein_domain
S5M1	IS5	structural_protein_domain
S6M1	IS6	structural_protein_domain
S1M2	IIS1	structural_protein_domain
S2M2	IIS2	structural_protein_domain
S3M2	IIS3	structural_protein_domain
S5M2	IIS5	structural_protein_domain
S1M3	IIIS1	structural_protein_domain
S2M3	IIIS2	structural_protein_domain
S3M3	IIIS3	structural_protein_domain
S4M3	IIIS4	structural_protein_domain
S5M3	IIIS5	structural_protein_domain
S6M3	IIIS6	structural_protein_domain
S2M4	IVS2	structural_protein_domain
S3M4	IVS3	structural_protein_domain
S5M4	IVS5	structural_protein_domain
densgof	GOF variant density other Navs/Cavs 10aa window	variant_density
densdiscovehrSCN	discovEHR variant density other Navs	variant_density
denslof	LOF variant density other Navs/Cavs 10aa window	variant_density
densdiscovehrCAC	discovEHR variant density other Cavs	variant_density
densdiscovehr	discovEHR variant density other Navs/Cavs	variant_density
densgnomad	gnomAD variant density other Navs/Cavs	variant_density
Prints_domain:PR01632	Prints domain:PR01632	protein_domain
5.scn	Navs/Cavs specific conservation 5%-CI	conservation
50.scn	Navs/Cavs specific conservation 50%-CI	conservation
95.scn	Navs/Cavs specific conservation 95%-CI	conservation
5.scncac	Navs/Cavs joined conservation 5%-CI	conservation
50.scncac	Navs/Cavs joined conservation 50%-CI	conservation
95.scncac	Navs/Cavs joined conservation 95%-CI	conservation
densgof3aa	GOF variant density other Navs/Cavs 3aa window	variant_density
denslof3aa	LOF variant density other Navs/Cavs 3aa window	variant_density
lofsotherSCNgenes	LOF variants in other Navs	variant_density
lofsotherCACgenes	LOF variants in other Cavs	variant_density
gofsotherSCNgenes	GOF variants in other Navs	variant_density
gofsotherCACgenes	GOF variants in other Cavs	variant_density
CTD	C-terminal domain	structural_protein_domain
SF_DEKA	"Selectivity filter, DEKA motif"	functional_protein_domain
grantham	Grantham score	amino_acid_feature
BLOSUM	BLOSUM score	amino_acid_feature
alphahelix_prop_altAA	alt AA alpha-helical propensity (kJ/mol)	amino_acid_physicochemical_properties
alphahelix_prop_refAA	ref AA alpha-helical propensity (kJ/mol)	amino_acid_physicochemical_properties
hydrophobicity_refAA	ref AA hydrophobicity 1	amino_acid_physicochemical_properties
hydrophobicity_altAA	alt AA hydrophobicity 1	amino_acid_physicochemical_properties
hydrophobicity2_refAA	ref AA hydrophobicity 2	amino_acid_physicochemical_properties
hydrophobicity2_altAA	alt AA hydrophobicity 2	amino_acid_physicochemical_properties
hydrophobicity3_refAA	ref AA hydrophobicity 3	amino_acid_physicochemical_properties
hydrophobicity3_altAA	alt AA hydrophobicity 3	amino_acid_physicochemical_properties
hydrophobicity4_refAA	ref AA hydrophobicity 4	amino_acid_physicochemical_properties
hydrophobicity4_altAA	alt AA hydrophobicity 4	amino_acid_physicochemical_properties
densgofwovar3aa	GOF variant density other Navs/Cavs 3aa window	variant_density
denslofwovar3aa	LOF variant density other Navs/Cavs 3aa window	variant_density
densgofwovar	GOF variant density other Navs/Cavs 10aa window	variant_density
denslofwovar	LOF variant density other Navs/Cavs 10aa window	variant_density
